date_mesure;09145X0057_N210;09406X0643_P130;09145X0059_N340;08472X0007_F-1;09662X0038_F41;09141X0092_N381;10462X0117_F1;09143X0128_PT1;09964X0020_PZ1;08688X0023_PZ1;10202X0117_PN2;09724X0023_P2;09665X0073_203;09664X0207_F44;09402X0244_P185;09663X0260_PA5;08465X0019_S5;09668X0106_16;09145X0058_N256;09407X0392_156038;09407X0393_P259;09937X0135_P23B;09994X0521_P4B;09952X0082_F9B;10218X0195_F;10475X0046_F;09933X0088_F;09436X0138_1P;09437X0036_23P;09942X0048_S;09735X0149_P34BIS;09408X0052_PU;09691X0120_PIEZ;09952X0093_PIEZ
2011-07-17;-3.6999999999999997;-3.955;-4.137142857142857;-3.8685714285714283;-5.057142857142857;-4.01;-86.28571428571429;-6.914285714285715;-28.728571428571428;-3.1357142857142857;-5.0928571428571425;-13.272857142857143;-4.364285714285715;-5.338571428571428;-2.1014285714285714;-4.642857142857143;-1061.8285714285714;-11.152857142857144;-3.31;-4.827142857142857;-5.2;-9.667142857142858;-7.034285714285715;-4.291428571428571;-8.932857142857143;-4.948571428571428;-12.6;-5.131428571428572;-3.632857142857143;-11.082857142857142;-9.48;-2.6185714285714283;-11.30722222222222;-2.585714285714286
2011-07-24;-3.6914285714285713;-3.93;-3.957142857142857;-3.8242857142857143;-5.151428571428572;-3.9857142857142853;-86.37714285714286;-6.88;-28.655714285714286;-3.1;-5.102857142857142;-13.597142857142858;-4.2371428571428575;-5.518571428571429;-2.307142857142857;-4.68;-1061.9757142857143;-11.202857142857143;-3.2657142857142856;-4.767142857142857;-5.164285714285714;-9.644285714285715;-7.0371428571428565;-4.192857142857143;-8.745714285714286;-4.642857142857143;-12.6;-5.098571428571428;-3.7914285714285714;-11.008571428571429;-9.547142857142857;-2.5500000000000003;-11.310833333333331;-2.717142857142857
2011-07-31;-3.725714285714286;-3.9785714285714286;-4.0128571428571425;-3.962857142857143;-5.1971428571428575;-4.055714285714286;-86.53999999999999;-6.845714285714286;-28.825;-3.1225;-5.117142857142857;-13.904285714285715;-4.247142857142857;-5.572857142857143;-2.392857142857143;-4.694285714285714;-1061.9014285714286;-11.292857142857143;-3.3628571428571425;-4.724285714285714;-5.172857142857143;-9.718571428571428;-7.058571428571428;-4.191428571428571;-10.108571428571429;-4.638571428571429;-12.6;-5.118571428571428;-3.2857142857142856;-10.994285714285715;-9.598571428571429;-2.575714285714286;-11.314444444444444;-3.012857142857143
2011-08-07;-3.7885714285714287;-3.9757142857142855;-4.1571428571428575;-3.97;-5.208571428571429;-4.101428571428571;-86.59142857142857;-6.595714285714286;-28.855;-3.13625;-5.134285714285714;-14.224285714285715;-4.337142857142857;-5.6414285714285715;-2.1157142857142857;-4.741428571428571;-1061.837142857143;-11.232857142857142;-3.442857142857143;-4.747142857142856;-5.178571428571429;-9.67;-7.095714285714286;-4.191428571428571;-9.462857142857143;-4.598571428571428;-12.571428571428571;-5.154285714285714;-3.358571428571428;-10.977142857142857;-9.667142857142858;-2.6271428571428572;-11.318055555555555;-3.1371428571428575
2011-08-14;-3.7142857142857144;-3.81;-3.9985714285714287;-3.8657142857142857;-5.118571428571428;-4.097142857142857;-86.74;-6.444285714285714;-28.884999999999998;-3.1500000000000004;-5.1899999999999995;-14.312857142857142;-4.128571428571428;-5.57;-2.1957142857142857;-4.687142857142858;-1061.8799999999999;-11.23;-3.3657142857142857;-4.731428571428571;-5.218571428571429;-9.577142857142858;-7.161428571428571;-4.151428571428571;-7.972857142857143;-4.78;-12.5;-5.1657142857142855;-3.617142857142857;-10.922857142857142;-9.754285714285714;-2.4642857142857144;-11.321666666666665;-3.13
2011-08-21;-3.738571428571429;-3.8185714285714285;-4.098571428571428;-3.948571428571429;-5.160000000000001;-4.132857142857143;-87.01285714285714;-6.364285714285714;-28.915;-3.1637500000000003;-5.2299999999999995;-14.437142857142858;-4.225714285714285;-5.682857142857143;-2.3957142857142855;-4.732857142857143;-1061.7957142857142;-11.277333333333333;-3.467142857142857;-4.741666666666666;-5.2700000000000005;-9.631428571428572;-7.2;-4.218571428571429;-9.924285714285714;-4.42;-12.5;-5.172857142857143;-3.7485714285714287;-10.875714285714285;-9.842857142857143;-2.54;-11.200000000000001;-3.0942857142857143
2011-08-28;-3.7914285714285714;-3.8528571428571428;-4.15;-4.008571428571428;-5.131428571428572;-4.152857142857143;-87.20714285714287;-6.317142857142857;-28.945;-3.1775;-5.284285714285715;-14.459999999999999;-4.345714285714286;-5.738571428571428;-2.467142857142857;-4.664285714285714;-1061.712857142857;-11.324666666666667;-3.5300000000000002;-4.751428571428571;-5.235714285714286;-9.62142857142857;-7.24;-4.317142857142857;-8.615714285714287;-4.227142857142857;-12.442857142857141;-5.181428571428571;-3.251428571428572;-10.85;-9.907142857142857;-2.6285714285714286;-11.277142857142858;-3.0300000000000002
2011-09-04;-3.8114285714285714;-3.835714285714286;-4.121428571428572;-4.048571428571429;-5.185714285714285;-4.164285714285714;-87.26571428571428;-6.328571428571428;-29.412857142857142;-3.21;-5.328571428571428;-14.459999999999999;-4.41;-5.76;-2.5157142857142856;-4.6899999999999995;-1061.6985714285715;-11.372;-3.5685714285714285;-4.7575;-5.207142857142857;-9.745714285714286;-7.235714285714286;-4.385714285714285;-8.885714285714286;-4.145714285714286;-12.4;-5.112857142857143;-3.544285714285714;-10.808571428571428;-9.961428571428572;-2.68;-11.305714285714286;-3.105714285714286
2011-09-11;-3.7642857142857147;-3.815714285714286;-4.01;-4.074285714285714;-5.26;-4.13;-87.52857142857144;-6.322857142857143;-29.315714285714286;-3.2214285714285715;-5.337142857142857;-14.459999999999999;-4.291428571428571;-5.791428571428571;-2.462857142857143;-4.691428571428572;-1061.6914285714286;-11.419333333333334;-3.5471428571428567;-4.745;-5.24;-9.805714285714286;-7.175714285714286;-4.452857142857143;-9.897142857142857;-4.057142857142857;-12.385714285714286;-5.147142857142858;-3.66;-10.799999999999999;-9.985714285714286;-2.6385714285714283;-11.29142857142857;-3.345714285714286
2011-09-18;-3.75;-3.801428571428571;-4.011428571428572;-4.0928571428571425;-5.295714285714285;-4.135714285714285;-87.80999999999999;-6.324285714285715;-29.951428571428572;-3.2285714285714286;-5.339999999999999;-14.459999999999999;-4.361428571428571;-5.841428571428572;-2.482857142857143;-4.752857142857143;-1061.607142857143;-11.466666666666667;-3.6285714285714286;-4.7749999999999995;-5.301428571428572;-9.89857142857143;-7.235714285714286;-4.5285714285714285;-9.62857142857143;-3.865;-12.342857142857143;-5.201428571428572;-3.59;-10.782857142857141;-10.031428571428572;-2.692857142857143;-11.198571428571428;-3.3242857142857143
