date_mesure,B,C,A,D,E
2011-06-23,-1.2729089609342201,-1.1550135922455804,-1.0590544370235497,-0.370207016242742,1.0813141836141007
2011-06-30,-1.3146077386363357,-1.2120515366968518,-1.1377356765600963,-0.45723638455058446,1.1935421369717625
2011-07-07,-1.3260440514630656,-1.208574719623048,-1.1846897282024895,-0.5238448052729564,1.2271488806587447
2011-07-14,-1.292233100023363,-0.9560572862287297,-1.1785874242698944,-0.48591969012055486,1.3126443803203873
2011-07-21,-1.206054472641987,-0.6448052242925265,-1.1841474787990416,-0.5069740438950756,1.3944436227596841
2011-07-28,-1.1599133936061365,-0.7998387242125602,-1.1978436417011031,-0.5532829733743596,1.3857020239842406
2011-08-04,-1.1573810850868929,-0.820680474224648,-1.2346773742689738,-0.5733332831687499,1.405867195682458
2011-08-11,-1.1772887143679358,-0.8215326564485875,-1.2565670445327495,-0.5887465728386844,1.426329152177917
2011-08-18,-1.246418041886618,-0.8236030359541074,-1.2682279490450215,-0.6195502183318684,1.4329070012597582
2011-08-25,-1.245896146648124,-0.7088604431679326,-1.2687361382152278,-0.6684681465241595,1.4354918083220136
2011-09-01,-1.2865680810640823,-0.8671286049603782,-1.2777061880621035,-0.7243257629478363,1.527835180264519
2011-09-08,-1.3052386807778167,-0.9567828393231523,-1.3167176227220065,-0.7921020009043888,1.588276828274615
2011-09-15,-1.3471621729134906,-0.9733256697672064,-1.360039394571964,-0.8150399235711157,1.6428475583966025
2011-09-22,-1.4171077531654854,-1.0697347434721198,-1.397049969043385,-0.8790563007667902,1.6490423665682874
2011-09-29,-1.4784896583135239,-1.2110394594755225,-1.44914520986971,-0.9577643578462114,1.6335718845413723
2011-10-06,-1.4834588551024996,-1.1141465463059448,-1.502928496884933,-0.9961373263095384,1.4281806103363364
2011-10-13,-1.5101869821371268,-1.0756020696233044,-1.5247164408647143,-1.0269665105783188,1.1176951288795842
2011-10-20,-1.494634374581527,-0.9629648436926587,-1.531057611207624,-0.9847118545870346,0.7387871989155865
2011-10-27,-1.5223637873728002,-0.9927925395515044,-1.534834638876633,-1.0115677909590841,0.40787214999173393
2011-11-03,-1.4664622290789842,-0.561848911061435,-1.459101661582722,-1.0157494388392547,0.2450988975600279
2011-11-10,-1.5319612192405119,-0.644975524848151,-1.4071030579268857,-1.0769202371779938,0.005199614304128186
2011-11-17,-1.5581340113012412,-0.8711964874122626,-1.406765980159965,-1.097916511688472,-0.3529224688808339
2011-11-24,-1.6071322730614015,-0.9646073209952793,-1.4425841718892953,-1.1589963124520664,-0.34364116759546404
2011-12-01,-1.5504014233035797,-0.5644475759576166,-1.4377424688427354,-1.0975921095553298,-0.38357227556756146
2011-12-08,-1.5191689570752223,0.3721032823982475,-1.309301977167357,-1.0344678075096545,-0.5809830931635654
2011-12-15,-1.4068240922128075,1.0870468604745054,-0.7735115161160672,-0.9327273219649439,-0.5041218019963726
2011-12-22,-1.2868381379479332,1.2958573496372885,-0.3446290106684162,-0.8882013583303621,-0.632451823433928
2011-12-29,-1.1298847911890002,1.522491348414141,-0.08827974129956861,-0.6895054066398565,-0.8558881635322142
2012-01-05,-1.0476767742419943,1.7971295273261996,0.5519227051061333,-0.5471163162653334,-0.6878217121808226
