date_mesure;09145X0057_N210;09145X0059_N340;09662X0038_F41;09964X0020_PZ1;08688X0023_PZ1;09665X0073_203;09437X0036_23P
2011-11-13;-2.065714285714286;-2.2914285714285714;-4.76;-27.91;-3.0042857142857144;-2.1614285714285715;-3.665714285714286
2011-11-17;-2.21;-2.4499999999999997;-4.752142857142857;-28.025;-3.067142857142857;-2.2685714285714287;-3.8114285714285714
2011-11-20;-2.2978571428571426;-2.608571428571428;-4.744285714285715;-28.14;-3.13;-2.3757142857142854;-3.957142857142857
2011-11-24;-2.3857142857142857;-2.694285714285714;-4.825714285714286;-28.190714285714286;-3.178571428571429;-2.5599999999999996;-4.057857142857142
2011-11-27;-2.44;-2.7800000000000002;-4.9071428571428575;-28.24142857142857;-3.2271428571428573;-2.744285714285714;-4.158571428571428
2011-12-01;-2.494285714285714;-2.833571428571429;-4.965714285714286;-28.362142857142857;-3.2464285714285714;-2.8707142857142856;-4.201428571428572
2011-12-04;-2.535;-2.8871428571428575;-5.024285714285715;-28.482857142857142;-3.2657142857142856;-2.9971428571428573;-4.244285714285715
2011-12-08;-2.575714285714286;-2.9242857142857144;-5.075000000000001;-28.388571428571428;-3.225714285714286;-3.081428571428572;-4.262142857142857
2011-12-11;-2.608571428571429;-2.9614285714285713;-5.125714285714286;-28.294285714285714;-3.185714285714286;-3.165714285714286;-4.28
2011-12-15;-2.641428571428572;-2.9657142857142857;-5.183571428571429;-28.24285714285714;-3.1678571428571427;-3.2264285714285714;-4.289285714285715
2011-12-18;-2.675714285714286;-2.97;-5.241428571428571;-28.19142857142857;-3.15;-3.2871428571428574;-4.298571428571429
2011-12-22;-2.71;-2.97;-5.271428571428571;-28.13357142857143;-3.1314285714285712;-3.3328571428571427;-4.308571428571429
2011-12-25;-2.715;-2.97;-5.301428571428572;-28.075714285714287;-3.1128571428571425;-3.3785714285714286;-4.3185714285714285
2011-12-29;-2.7199999999999998;-2.97;-5.339285714285714;-28.100714285714286;-3.1185714285714283;-3.4135714285714287;-4.325714285714286
2012-01-01;-2.7278571428571423;-2.97;-5.377142857142857;-28.125714285714285;-3.1242857142857146;-3.448571428571429;-4.332857142857143
2012-01-05;-2.7357142857142853;-2.97;-5.397857142857143;-28.027857142857144;-3.057142857142857;-3.463571428571429;-4.338571428571428
2012-01-08;-2.741428571428571;-2.97;-5.418571428571428;-27.93;-2.9899999999999998;-3.4785714285714286;-4.344285714285713
2012-01-12;-2.7471428571428573;-3.0307142857142857;-5.444999999999999;-28.087857142857143;-3.0407142857142855;-3.4992857142857146;-4.349285714285713
2012-01-15;-2.7564285714285717;-3.0914285714285716;-5.471428571428571;-28.245714285714286;-3.0914285714285716;-3.52;-4.354285714285714
2012-01-19;-2.7657142857142856;-3.173571428571429;-5.5;-28.29;-3.1157142857142857;-3.532142857142857;-4.360714285714286
2012-01-22;-2.772857142857143;-3.255714285714286;-5.528571428571429;-28.334285714285716;-3.14;-3.544285714285714;-4.367142857142857
2012-01-26;-2.7800000000000002;-3.2721428571428572;-5.548571428571429;-28.520714285714284;-3.137857142857143;-3.545;-4.372142857142857
2012-01-29;-2.791428571428572;-3.2885714285714287;-5.5685714285714285;-28.707142857142856;-3.1357142857142857;-3.545714285714286;-4.377142857142857
2012-02-02;-2.802857142857143;-3.3057142857142856;-5.59;-28.57785714285714;-3.157142857142857;-3.547142857142857;-4.382142857142857
2012-02-05;-2.8128571428571427;-3.3228571428571425;-5.611428571428571;-28.448571428571427;-3.1785714285714284;-3.5485714285714285;-4.387142857142857
2012-02-09;-2.8228571428571425;-3.3435714285714284;-5.667857142857143;-28.445714285714285;-3.1957142857142857;-3.5621428571428573;-4.3914285714285715
2012-02-12;-2.8328571428571427;-3.3642857142857143;-5.724285714285714;-28.442857142857143;-3.212857142857143;-3.575714285714286;-4.395714285714286
2012-02-16;-2.8428571428571425;-3.3771428571428572;-5.771428571428571;-28.532857142857146;-3.218571428571429;-3.599285714285714;-4.4
2012-02-19;-2.847142857142857;-3.39;-5.8185714285714285;-28.622857142857146;-3.224285714285714;-3.6228571428571428;-4.404285714285715
2012-02-23;-2.8514285714285714;-3.3985714285714286;-5.822857142857143;-28.779285714285717;-3.222857142857143;-3.6564285714285716;-4.4071428571428575
2012-02-26;-2.8607142857142858;-3.4071428571428575;-5.827142857142857;-28.935714285714287;-3.2214285714285715;-3.6900000000000004;-4.41
2012-03-01;-2.87;-3.4157142857142855;-5.832857142857143;-29.221428571428575;-3.1971428571428575;-3.7250000000000005;-4.415
2012-03-04;-2.883571428571429;-3.424285714285714;-5.838571428571428;-29.50714285714286;-3.172857142857143;-3.7600000000000002;-4.42
2012-03-08;-2.8971428571428572;-3.4349999999999996;-5.837857142857143;-29.58642857142857;-3.1850000000000005;-3.7935714285714286;-4.423571428571428
2012-03-11;-2.9042857142857144;-3.4457142857142857;-5.837142857142857;-29.665714285714284;-3.1971428571428575;-3.827142857142857;-4.427142857142857
2012-03-15;-2.9114285714285715;-3.4542857142857146;-5.827857142857143;-29.70285714285714;-3.1964285714285716;-3.850714285714286;-4.428571428571429
2012-03-18;-2.8899999999999997;-3.462857142857143;-5.8185714285714285;-29.740000000000002;-3.1957142857142857;-3.8742857142857146;-4.43
2012-03-22;-2.8685714285714283;-3.4542857142857146;-5.777142857142858;-29.745;-3.2007142857142856;-3.8921428571428573;-4.43
2012-03-25;-2.886428571428571;-3.4457142857142857;-5.735714285714286;-29.75;-3.205714285714286;-3.91;-4.43
2012-03-29;-2.904285714285714;-3.451428571428571;-5.713571428571429;-29.737142857142857;-3.202857142857143;-3.922142857142857;-4.402857142857143
2012-04-01;-2.886428571428571;-3.457142857142857;-5.691428571428572;-29.724285714285713;-3.2;-3.934285714285714;-4.375714285714286
2012-04-05;-2.8685714285714283;-3.4614285714285713;-5.6728571428571435;-29.46857142857143;-3.2007142857142856;-3.8392857142857144;-4.33
