date_mesure,A,F,E,B,D,C
2014-03-20,1.1734649169306612,1.389433396327701,0.7753673538156601,1.6586463104454647,2.180746068731204,1.611025015687517
2014-03-27,1.1298393796272852,1.4815801309318615,0.8502978473770316,1.7385281627571745,2.1721160323262163,1.6068453578014106
2014-04-03,1.0020126007336274,1.4573964887482243,0.81517255334029,1.7450868510304782,2.1066881777430657,1.5054739965214836
2014-04-10,0.7555191739404438,1.3759996127206597,0.7725864145134431,1.7465613556738067,2.006118084651462,1.355284610844779
2014-04-17,0.5597169624925683,1.3093372338398308,0.8211224305321339,1.7315263119376076,1.9116962802895052,1.2314466164512945
2014-04-24,0.4713488619240642,1.2943850308817615,0.8155733457839129,1.7257744360317067,1.8139156079791998,1.1523123932034427
2014-05-01,0.4612321652350746,1.249652489999932,0.812992862538936,1.7246658949402098,1.744859664908921,1.0837396841374725
2014-05-08,0.28366993749155023,1.1587135857591018,0.7677071975279186,1.6813606186289896,1.6198328264940836,0.9380420273090406
2014-05-15,0.18299455806549758,1.1103952253756162,0.8021304066035861,1.6825728435536993,1.5233755306195613,0.8474623603759134
2014-05-22,0.695473135117507,1.1709142938075783,0.8122658230519424,1.736719794967256,1.5602233189461945,0.9202466073632387
2014-05-29,0.6136832034673187,1.1657223472556215,0.7565941369642714,1.7297503295522842,1.512842198897979,0.8884257648556636
2014-06-05,0.3776611644610431,1.0791052998326822,0.7345224594661002,1.7140720643684877,1.4420453496983834,0.7640252220703051
2014-06-12,0.17790583749031186,0.817462553371594,0.6829486154816092,1.5931059712574231,1.319520146438446,0.6151292609797235
2014-06-19,0.0021580187389933503,0.4276268060672226,0.6300676039563219,1.4743214247994443,1.1739374883441567,0.45141557595261866
2014-06-26,-0.04087478163173447,0.18268812219851133,0.6221317758037825,1.4173113995755235,1.1021040089554965,0.3228614909080689
2014-07-03,-0.09444993960633025,0.19284099696982904,0.5920149037745033,1.4214077749291762,1.0118148326561012,0.26437924066179064
2014-07-10,-0.13094903738503116,0.19937678031138598,0.5829916615131929,1.3938933864243592,0.9294582665241298,0.21681291947849615
2014-07-17,-0.21976034426120522,-0.12277657316797264,0.5495450298686344,1.3197127218413902,0.8326154865765647,0.11572462277562755
2014-07-24,-0.3405091522844133,-0.3247117417654546,0.5290991631549282,1.2090272466059677,0.7062854871476227,0.030114786070085733
2014-07-31,-0.45573848022656016,-0.5467269068223286,0.5087021387245286,1.166857050467109,0.614589646897484,-0.06954936504731797
2014-08-07,-0.3526381812202683,-0.44898516618183215,0.5560156886052284,1.1616099782047091,0.5792353952944028,-0.1584446129234457
2014-08-14,-0.23180535884052827,-0.2903806547756649,0.5404773581828481,1.1506291446986354,0.5366512666655372,-0.1566468381908806
2014-08-21,-0.36608218411330484,-0.3724250603862992,0.5311993349754326,1.0627424471719242,0.471760934983367,-0.26606124894453376
2014-08-28,-0.4248596478477937,-0.28454992986945393,0.5256319539291122,1.0303514041315924,0.3924313218841453,-0.3350881103161869
2014-09-04,-0.5619995260974683,-0.3726278514986266,0.5471250384292108,0.9570034563507211,0.3248783567761486,-0.42885480439779056
2014-09-11,-0.6404771980876208,-0.3128671094051906,0.5129245625411221,0.9425417878213678,0.2315882122854045,-0.5172140581740476
2014-09-18,-0.6662086137690256,-0.1897153357779666,0.4914745971508021,0.9023722247932356,0.16156113450065,-0.5693209646909436
2014-09-25,-0.7591922771051991,-0.12188208351783222,0.42941805969716007,0.866507567561361,0.0743089223085131,-0.6575610651571908
2014-10-02,-0.7847372637915259,-0.05947493820338967,0.4062431863293295,0.8786550606746273,0.04278025930498386,-0.68589568567816
2014-10-09,-0.5675116878404585,0.13227885068357823,0.46782852742539494,0.9093139629478277,0.03852468222087907,-0.5926618895818624
2014-10-16,-0.5681098000406534,0.1583615431066143,0.4090395740637566,0.8629138293151711,-0.020010330726197595,-0.6334042501025493
2014-10-23,-0.6153732123148326,0.20872409810328763,0.4255560621874315,0.856193203229989,-0.0690341788337942,-0.6681318188940006
2014-10-30,-0.621234117252764,0.3007739190440246,0.4249893929594507,0.8769410730281069,-0.09773293683523951,-0.667791400181592
2014-11-06,-0.44833002855774134,0.4308432976599244,0.43879930908623305,0.9142977979318376,-0.10754578263788254,-0.5768718919962544
2014-11-13,-0.01576396516734073,0.516543712051228,0.5892709181469794,0.9379036832013729,-0.07837223897924361,-0.420689842900967
2014-11-20,0.38888794679550664,0.5792456978415048,0.5917928398320257,0.958096071409145,0.012892255755176496,-0.1486950727507823
2014-11-27,0.31299242947722744,0.6298066267821935,0.6889152959928766,0.9817181713490111,0.025361902913380197,-0.017767399125071803
2014-12-04,0.17580421657428064,0.5727371569455539,0.5974943385036534,0.8900325284165911,-0.051758131949711406,-0.052211634994038914
2014-12-11,0.10146222463406568,0.6265539225709728,0.6201483924968094,0.9230995574766142,-0.055460196323706384,-0.022546415550485838
2014-12-18,0.2608378541267732,0.6229555824232759,0.5573205918801367,0.8532276110411817,-0.08276929089875229,0.06129350909126616
2014-12-25,0.29479217806051927,0.7040536297732871,0.5996248291493844,0.848540526374209,-0.06357493953805005,0.17267341500903063
2015-01-01,0.23896836267444854,0.7107964074129454,0.5445567219611269,0.7977470751779472,-0.06634948645552385,0.19448301524761882
2015-01-08,0.35032668655395593,0.756938310452766,0.5613560545252647,0.8152553985704621,-0.07521253246813597,0.22210859673811426
