"code_bss";"date_debut";"date_fin";"nb_mesures_piezo";"code_dpt";"code_commune_insee";"nom_commune";"latitude";"longitude";"altitude_station";"profondeur_investigation";"codes_bdlisa";"libelle_pe";"codes_masse_eau_edl";"noms_masse_eau_edl";"fichier_piezo";"fichier_era5";"fichier_combined";"commentaire";"cluster_kmeans"
"01897X0002_S1";"1969-03-05 00:00:00.000000";"2022-05-19 00:00:00.000000";3989;"51";"51552";Songy;48.800548434;4.506000971;93.0;12.9;"121AN30";C;HG208;Craie de Champagne sud et centre;1;0;0;;"3"
"02974X0004_S1";"1969-01-13 00:00:00.000000";"2022-05-20 00:00:00.000000";6814;"10";"10414";Villeloup;48.35875758;3.873877922;169.0;60.0;"121AO30";C;HG209;Craie du Senonais et Pays d'Othe;1;0;0;;"3"
"00862X0005_S1";"1971-01-20 00:00:00.000000";"2022-05-19 00:00:00.000000";6377;"08";"08329";Novion-Porcien;49.601587554;4.420886091;120.6;6.25;"127AA99";S;HG214;Albien-Néocomien libre entre Ornain et limite de district;1;0;0;;"3"
"01102X0025_S1";"1971-02-17 00:00:00.000000";"2022-05-20 00:00:00.000000";8082;"08";"08085";Brieulles-sur-Bar;49.477007915;4.855385697;190.0;23.77;"135AA61";C;B1G113;Calcaires des côtes de Meuse de l’Oxfordien et du Kimméridgien et argiles du Callovo-Oxfordien;1;0;0;;"3"
"02281X0037_S1";"1975-04-08 00:00:00.000000";"2022-05-23 00:00:00.000000";4835;"55";"55518";Cousances-lès-Triconville;48.759496401;5.403925517;299.18;59.0;"135AA51";C;HG305;Calcaires kimméridgiens-oxfordiens karstiques nord-est du district (entre Ornain et limite de district);1;0;0;;"2"
"02617X0009_S1";"1969-01-13 00:00:00.000000";"2022-05-20 00:00:00.000000";10642;"10";"10274";Orvilliers-Saint-Julien;48.444574124;3.832707776;101.0;17.6;"121AO30";C;HG209;Craie du Senonais et Pays d'Othe;1;0;0;;"5"
"01891X0047_PZ1";"1966-06-14 00:00:00.000000";"2022-05-20 00:00:00.000000";13641;"51";"51108";Châlons-en-Champagne;48.943717;4.355795;82.0;8.0;"926AC01";A;HG004;Alluvions de la Marne;1;0;0;;"3"
"01377X0212_M02";"1999-03-11 00:00:00.000000";"2022-05-23 00:00:00.000000";4959;"54";"54371";Moineville;49.200491876;5.953235642;215.82;119.3;"139AP99";S;CG110;Calcaires du Dogger des côtes de Moselle versant Rhin;1;0;0;;"3"
"01373X0133_P02";"1999-07-29 00:00:00.000000";"2022-05-23 00:00:00.000000";4137;"54";"54036";Avril;49.300580691;5.938490586;270.92;65.0;"139AP99";C;CG110;Calcaires du Dogger des côtes de Moselle versant Rhin;1;0;0;;"3"
"03085X0033_212";"1954-10-07 00:00:00.000000";"2022-04-26 00:00:00.000000";3463;"67";"67486";Sundhouse;48.251062388;7.600558576;168.8;6.5;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"04454X0030_P12";"1977-06-07 00:00:00.000000";"2018-07-04 00:00:00.000000";7483;"68";"68297";Saint-Louis;47.619407785;7.54896047;241.19;2.65;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"7"
"03428X0026_122";"1964-03-24 00:00:00.000000";"2022-02-23 00:00:00.000000";2979;"68";"68367";Widensolen;48.063908474;7.480326165;189.1;7.0;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"6"
"03426X0195_132";"1982-11-24 00:00:00.000000";"2022-01-25 00:00:00.000000";2015;"68";"68066";Colmar;48.079108881;7.362670953;190.07;9.25;"221AA15";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"04136X0582_M132";"1975-01-06 00:00:00.000000";"2021-09-10 00:00:00.000000";2436;"68";"68224";Mulhouse;47.76154456;7.350370869;237.42;8.4;"221AA13";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"6"
"03795X0040_V42";"1964-02-27 00:00:00.000000";"2022-01-25 00:00:00.000000";2961;"68";"68104";Geiswasser;47.959770729;7.602870433;197.41;11.8;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"4"
"03786X0024_52";"1955-01-04 00:00:00.000000";"2022-02-22 00:00:00.000000";3498;"68";"68203";Merxheim;47.910929088;7.292448927;211.36;79.3;"221AA13";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"6"
"01372X0204_M52";"1995-03-02 00:00:00.000000";"2022-05-23 00:00:00.000000";6337;"54";"54099";Val de Briey;49.269937741;5.925436949;227.37;52.0;"139AP99";C;CG110;Calcaires du Dogger des côtes de Moselle versant Rhin;1;0;0;;"3"
"03783X0045_82";"1955-01-04 00:00:00.000000";"2022-04-26 00:00:00.000000";3424;"68";"68331";Sundhoffen;48.042203858;7.416874223;193.36;8.0;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"03427X0027_92";"1955-01-04 00:00:00.000000";"2022-05-30 00:00:00.000000";12718;"68";"68143";Porte du Ried;48.113070934;7.421354586;182.7;5.15;"221AA17";l;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"01112X0005_F2";"1975-04-10 00:00:00.000000";"2022-05-23 00:00:00.000000";3021;"55";"55502";Stenay;49.485299238;5.17675552;165.35;50.0;"139AM03";C;B1G109;Calcaires du Dogger versant Meuse nord;1;0;0;;"3"
