date_mesure,D,A,B,C
2013-12-05,0.06002405232136607,0.676580966194182,0.12298684869175205,0.21672234624423442
2013-12-12,0.07482111309337891,0.5727039731348134,0.13175153788527433,0.21633971433394383
2013-12-19,0.11825350845833624,0.626651169141067,0.16094897449854245,0.2488030942644967
2013-12-26,0.23292342299314697,1.0437717699499003,0.23330584706011764,0.3972080003360888
2014-01-02,0.328690745515748,1.1712963408623693,0.3040437453224963,0.5487673157577574
2014-01-09,0.3848123347016774,1.1455281595848774,0.35804651115477615,0.631060987289087
2014-01-16,0.485520349746287,1.200027518799244,0.4235199612523372,0.7462973645371733
2014-01-23,0.5896117814761724,1.2969412989303053,0.4984089494097537,0.8825333190724142
2014-01-30,0.7582644761244314,1.5950244934010405,0.6169726604410048,1.12550716357055
2014-02-06,0.9185368684709435,1.7803150205511487,0.7641738070687483,1.3810704343737528
2014-02-13,1.036287636963138,1.8214710032461596,0.8647351400415333,1.5554229058417406
2014-02-20,1.1419373923254779,1.7926863009707992,0.9596581726090945,1.6758788853901918
2014-02-27,1.290533531024522,1.8261872627548428,1.0630853098783883,1.8203400581842077
2014-03-06,1.3666432978848735,1.8155675325037235,1.1253527232740919,1.9045486936226281
2014-03-13,1.4509887906661634,1.6960872281960686,1.2095244862083252,1.9727236352486768
2014-03-20,1.5564133006699097,1.535670352241735,1.294129290687542,2.016637654675215
2014-03-27,1.6181112566330216,1.3836515182212836,1.34013119715825,1.9990407344324497
2014-04-03,1.6533875849044362,1.2434422733900357,1.369653502859039,1.9499970605614327
2014-04-10,1.638389932777792,1.0846785557488996,1.3919544783457134,1.8672300516544225
2014-04-17,1.6333292959188361,0.9375891118485883,1.4264663596439104,1.7980567762423725
2014-04-24,1.632251207646787,0.8097713004143988,1.4285961095428106,1.7077621182022966
2014-05-01,1.6104883397545762,0.6673558539025046,1.4239566609541965,1.610802967263584
2014-05-08,1.6109424414165856,0.6278066860217325,1.4322653302530117,1.5562791493072492
2014-05-15,1.5829282414008397,0.5062682669023735,1.4333329163909607,1.4622253210111071
2014-05-22,1.5698280101365594,0.4260398194581546,1.4357717209881624,1.3850052743533905
2014-05-29,1.5250372257181848,0.3029934307420844,1.4254319404508449,1.2949378904257833
2014-06-05,1.4743898669883078,0.24664692875642757,1.4246101974987881,1.214759535240184
2014-06-12,1.4109627195714873,0.15417548169984385,1.424510095221801,1.1192668525028318
2014-06-19,1.342798943460504,0.0023313776971755074,1.34892620341645,1.010445512072348
2014-06-26,1.281769731726805,-0.08789103441929913,1.265298640341979,0.8959664971030484
2014-07-03,1.224016556846831,-0.13561709533488298,1.253440467718809,0.81066257297825
2014-07-10,1.1944805101396012,-0.05532190048236618,1.2920064503314437,0.8149443827914264
2014-07-17,1.1696633695955287,-0.12308696233574845,1.307630147580289,0.7494548251095046
2014-07-24,1.1240037302671557,-0.2103238505541667,1.3059092571741902,0.6779246175357877
2014-07-31,1.0632552404548548,-0.28793364635352214,1.3068384134756303,0.6020065295294454
2014-08-07,1.0141441292977103,-0.3128251448842949,1.2993814618873383,0.5521247430046085
2014-08-14,0.9889196408375758,-0.2809277606323275,1.2963093718991172,0.5109390523565792
2014-08-21,0.9428296884167204,-0.2730486097883168,1.2864905239187068,0.44695450801278747
2014-08-28,0.9048558701832103,-0.21546007027863712,1.2783184174855118,0.4211727366409623
2014-09-04,0.8482082038249346,-0.3323106939929428,1.261111870126742,0.3469207654056385
2014-09-11,0.7783906611328482,-0.4260218756914379,1.216815409221085,0.26221892392053214
2014-09-18,0.7098112687773939,-0.556907041660797,1.1897675490016864,0.200373836182977
2014-09-25,0.6458094653668356,-0.5834610176187919,1.1564965906060247,0.13836450226476982
2014-10-02,0.5850902696213889,-0.665202517301334,1.1453735894081831,0.07377009178071722
2014-10-09,0.5478047425248329,-0.5637203921444531,1.138425594566052,0.05052586357086328
2014-10-16,0.4964569440043324,-0.3904130093431885,1.1204705323162176,0.014640155417745604
2014-10-23,0.43263783203787165,-0.38740433543532027,1.0981252687004333,-0.04295860370370272
2014-10-30,0.4008040896737611,-0.41162393016533166,1.0905705888706796,-0.07749869853649743
2014-11-06,0.3859818348766135,-0.3170084778288491,1.0774058900737535,-0.09596856846340007
2014-11-13,0.3372075236665646,-0.27372086833267384,1.0606070122300904,-0.11585367778096745
2014-11-20,0.2668585388604199,-0.2538986808127409,1.0359212763984522,-0.1391932092917334
2014-11-27,0.2248608589787076,-0.2752653458373968,1.0302813191848637,-0.16670084927577702
2014-12-04,0.1560999579486132,-0.26643458246284657,0.9986604970744072,-0.21034262752490862
2014-12-11,0.15483763186375651,0.024859791934627312,1.0250468217273365,-0.15110278700727486
2014-12-18,0.18988752992403915,0.37125391154705223,1.056073692981652,-0.018666297569620127
2014-12-25,0.2287753471213238,0.6012460159748078,1.1042054068100395,0.09777063502121763
2015-01-01,0.2639409700577076,0.7631291282237236,1.14650618394228,0.22452726269149104
2015-01-08,0.3459169765954043,0.9369778508155967,1.2144220288901417,0.3716709647682231
2015-01-15,0.457953281008369,1.2063741244400892,1.2891645245181276,0.5338909071687604
2015-01-22,0.5289752691048523,1.2780492078579186,1.3405680947350302,0.6587967926264903
2015-01-29,0.6848478524783335,1.388053441742842,1.4474289201852877,0.8532356462576416
2015-02-05,0.7733603001302924,1.3918555858212331,1.4868649581108966,0.9901003726698843
2015-02-12,0.856785964454762,1.2727428793109448,1.583077402048465,1.096949367892827
2015-02-19,0.957836111468507,1.352720045947017,1.6691266328575023,1.2156674377175023
2015-02-26,1.075291848269923,1.5194974874944,1.731109154319105,1.3896136097189318
2015-03-05,1.1491602128676122,1.4938475422189275,1.7992529734077294,1.513429634185513
2015-03-12,1.2170637965930533,1.3563869517235352,1.8874445787117478,1.5891875175596974
2015-03-19,1.2731178263118745,1.2043216834110089,1.927746310868851,1.6236735095361858
2015-03-26,1.328527198651915,1.145569483629933,1.9761658098534824,1.6492177539638408
2015-04-02,1.3486957822547687,1.1859386248869044,1.9817132697613369,1.6441988239489438
2015-04-09,1.3643234027889275,1.0260196217802156,2.0027890517431497,1.602021061908939
2015-04-16,1.3692911069628824,0.8732957490213693,2.0114559701081047,1.515456873733498
2015-04-23,1.3732734969513594,0.7430283229466785,2.0325420626171162,1.4582549116916255
2015-04-30,1.367712048798601,0.6301501960872968,2.0429724497382367,1.406731605022441
2015-05-07,1.3502132883226194,0.5420563610430246,2.0251841972077087,1.3563624487946122
2015-05-14,1.3225135833410189,0.41830683386946066,2.019046243175378,1.282920457260663
2015-05-21,1.262984657220653,0.27711258367123015,1.993029564168501,1.1883663177596167
2015-05-28,1.2198115961819287,0.15045322376782644,1.9716244447825857,1.091306147028732
2015-06-04,1.143089128159988,0.046448901422505795,1.9424829581205447,0.9770118957403379
2015-06-11,1.0820508234303123,-0.05995409433895338,1.8972868545114827,0.861300942388263
2015-06-18,0.9718709158354369,-0.20460018937923474,1.78922282616765,0.7389803003201443
2015-06-25,0.8841084033979507,-0.28215689866350846,1.7217449124344002,0.619447961006772
2015-07-02,0.7692455413206111,-0.43219530378490834,1.6065588378042412,0.47870901456418463
2015-07-09,0.6593015467294059,-0.5286649325126276,1.4855981039651867,0.35755214062878277
2015-07-16,0.5668155913346259,-0.6007771720742674,1.3969120135969706,0.2310679622818377
2015-07-23,0.4902598633043951,-0.6668036252486134,1.3497651387042147,0.13944997458113123
2015-07-30,0.42480818983601476,-0.7632102096999721,1.2814109894376546,0.04877668452876868
2015-08-06,0.34152911096217525,-0.9173935821090532,1.1790499945893513,-0.05740975346920213
2015-08-13,0.2691764082909751,-0.9484739455676584,1.125265418266582,-0.12011969032726474
2015-08-20,0.2064315281808408,-0.9818896695748263,1.1195462540814443,-0.1961378499575323
2015-08-27,0.19197140515397154,-0.912350575676699,1.1092435427476581,-0.2429415906986301
2015-09-03,0.13383471697405902,-1.0189970590506214,1.0761312890983132,-0.3155922946360221
2015-09-10,0.08449116709568058,-1.0093616270787102,1.0599547350109035,-0.3844094530424452
2015-09-17,0.04481990537547928,-0.9101166179752109,1.0308985149483194,-0.39567728656867
2015-09-24,-0.020916603514552712,-0.9245489430708833,0.9847762157191817,-0.458306571189974
2015-10-01,-0.08766222711246369,-0.9863223558512877,0.9664428625363073,-0.5304625297796746
2015-10-08,-0.16330872413154568,-1.0107513157462444,0.9361658942287598,-0.5772842511968639
2015-10-15,-0.23711373437297073,-1.041706502140217,0.8983697707700837,-0.639213269086687
2015-10-22,-0.2900141913218953,-1.0559306127401824,0.8591854390190243,-0.6958943722945441
2015-10-29,-0.3514100738193807,-1.062315737737067,0.8115796056704441,-0.7378163102266291
2015-11-05,-0.4178888519119843,-1.0653207015448651,0.7673871740751329,-0.7915718418102569
2015-11-12,-0.501606228240238,-1.0204144702692812,0.7319851240858986,-0.837142078945376
2015-11-19,-0.49684758581178573,-0.6006728558918794,0.7183719131378578,-0.8032615066749286
2015-11-26,-0.4740059399060029,-0.4459268074158783,0.6987806401175602,-0.7722787296991331
2015-12-03,-0.4999341152408401,-0.36457531249727243,0.6648514342617494,-0.7571987314253059
2015-12-10,-0.5438858861207022,-0.32977359697621683,0.6367747653873677,-0.7782079012596388
2015-12-17,-0.567108275819403,-0.27158371127832137,0.6053872152087446,-0.7871870087237762
2015-12-24,-0.5920079666675533,-0.2416087577740968,0.5740820239598542,-0.7787843708358546
